ID;deutsche Bezeichnung;Reich;Familie;Gattung;Art;Variation;Höhe max [cm];Etage;Wurzel;Wurzeltyp;Tiefe der Wurzeln;einjährig;mehrjährig;Raunkiaer;krautig;ausdauernd;sommergrün;immergrün;winterhart;Philie;Lichtzahl (L);Schatten;Halbschatten ;Vollsonne;Temperaturzahl (T);Temperaturminimum;Durchschnittliche minimale Temperatur [in °C];Feuchtigkeit (F);Bodenfeuchte;Boden;Sand;Lehm;durchlässig;locker;humusreich;humusarm;Kalkhaltig;Wasser;Steine;Trockenheitsresistenz;Hang;Salztoleranz;Kontinentalitätszahl (K);Reaktionszahl (R);Nährstoffzahl (N);Pflanzengesellschaft;ph;PH ideal;Nutzen;Funktion;Produkte;Bau;Fasern;Mulchmaterial;Gründünger;Stickstofffixierung;Boden lockernd;Giftig;Warnung;Blütezeit;Farbe Blüte;Bunte Blüte;Nektar;Pollen;Blüht am x Jährigen Trieb;Erntereif nach x Tagen;Erntemethode;Schnitt;Vermehrung;Bestäubung;Bestäubung.1;beneficial Insects ;Nützling;Nisthilfe;Verbreitung;Population;Rote Liste;Neophyt;bedrohte Art;Schutzbedarf;Vorhandene Samen;Hybride mit;Überdauerungsorgan;Pflanzschema;Beipflanzung ;Beipflanzung;Vorfrucht;USDA;USDA.1;RHS;RHS.1;Strategoe;Kohlenstofffixierung;
178;;Plantae;;Cersis;canadensis;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;;Plantae;;Spiraea;thunbergi;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;;Plantae;;Spiraea;?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;;Plantae;;Forsythia;?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;;Plantae;;Prunus ?;?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;;Plantae;;Magnolia;stellata;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;;Plantae;;Berberis;aquifolium;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;;Plantae;;Berberis;thunbergi;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;;Plantae;;Taxus;baccata ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;;Plantae;;Taxus;canadensis ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;;Plantae;;Hydrabgea;marcrophylla ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;;Plantae;;Chaenomeles;japonica ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;;Plantae;;Ligustrum;?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;;Plantae;;Ribes;?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;;Plantae;;Symphoricarpus;orbiculatus ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;;Plantae;;Carpinus;betulus ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;;Plantae;;Thilia;cordata ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;;Plantae;;Cornus;sanguinea ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;;Plantae;;Amelanchier;ovalis ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;;Plantae;;Philadelphus;lewisii ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;;Plantae;;Sorbia;sorbifolia ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;;Plantae;;Campanula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;;Plantae;;Guara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;;Plantae;;Cimicifuga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Gewürzsträucher;Plantae;;Calycanthus;;;300;3;;;;;;P;;;;;;;;;;;;;-29;;M F;;;;;;;;;;;;;;;;;;;;E M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Holunder;Plantae;;Sambucus;;;1100;2 3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Stieleiche;Plantae;;Quercus;robor;;4000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Traubeneiche;Plantae;;Quercus;petraea;;4000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Hänge-Birke;Plantae;;Betula;pendula;;3000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;Rotbuche;Plantae;;Fagus;silvatica;;5000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;Espe;Plantae;;Populus;tremula;;3000;1;P;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P R H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Winterlinde;Plantae;;Tilia;cordata;;;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Gemeine Esche;Plantae;;Fraxinus;excelsior;;4000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Bergahorn;Plantae;;Acer;pseudoplatanus;;3000;1;P;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I B P ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Waldkiefer;Plantae;;Pinus;silvestris;;4500;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H I B M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Esskastanie;Plantae;;Casdtanea;sativa;(subsp.);3000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H B E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Elsbeere;Plantae;Rosaceae;Sorbus;torminalis; ;3000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R H ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Pyrenäen- Eiche;Plantae;;Querqus;pyrenaica;;2000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;Moor-Birke;Plantae;;Betula;pubescens;;3000;1;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P H M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;Hasel;Plantae;;Corylus;avellana;;600;3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E H Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;Vogelbeere;Plantae;;Sorbus;aucuparia;;2000;2;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V Z H M E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;Faulbaum;Plantae;;Frangula;alnus;;500;3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Eingiffeliger Weißdorn;Plantae;;Crataegus;monogyna;;600;3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M E Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Wacholder;Plantae;;Juniperus;communis;;1500;2 3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R H E M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;Holzapfel;Plantae;;Malus;silvestris;;1000;2;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Schlehdorn;Plantae;;Prunus;spinosa;;500;3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E H M I R Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Schneeball;Plantae;;Viburnum;opulus;;600;3;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Salweide;Plantae;Salicaceae;Salix;caprea;;1500;1 2;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P H B R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Zweigriffeliger Weißdorn;Plantae;;Crataegus;laevigata;;1000;2;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Europäische Stechpalme;Plantae;;Ilex;aquifolium;;1500;2 3;;;;;;P;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Besenginster;Plantae;;Cytisus;scoparius;;300;3;P;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N P Z;;;;;;;;;;;;gelb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Plymouthbirne;Plantae;Rosaceae;Pyrus;cordata;;1000;2;;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E B I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;Vogelkirsche;Plantae;;Prunus;avium;(subsp.);2000;2;;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E V B ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;Kulturbirne;Plantae;;Pyrus;communis;(subsp.);2000;2;;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E B I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Wildbirne;Plantae;;Pyrus;pyraster;;2000;2 3;;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E H I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Mispel;Plantae;;Mespilus;germanica;;600;2;;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E H B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Liguster;Plantae;Oleaceae;Ligustrum;vulgare;;450;3;;;;;;P;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H B I R V E(G);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;Speierling;Plantae;;Sorbus;domestica;;2500;2;H;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H E V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Pontischer Rhododendron;Plantae;;Rhododendron;ponticum;;500;3;;;;;;P;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Westlicher Erdbeerbaum;Plantae;;Arbutus;unedo;;1000;2;;;;;;P;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H B E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Asch-Weide;Plantae;;Salix;cinerea;;400;2;;;;;;P;;;x;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;Gagelstrauch;Plantae;;Myrica;gale;;200;3;;;;;;C;;;x;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R K I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;Waldgeißblatt;Plantae;;Lonicera;periclymenum;;2500;7;;;;;;P;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E(G) I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;Schmerwurz;Plantae;;Tamus;communis;;400;7;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E(G);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Kletten-Krapp;Plantae;;Rubia;peregrina;;150;7;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;
243;Wiesen-Wachtelweizen;Plantae;;Melampyrum;pratense;;50;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;Ruchgras;Plantae;;Anthoxanthum;odoratum;;80;4;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;Adlerfarn;Plantae;;Pteridium;aquilinum;;250;4;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Straußenfarn;Plantae;;Matteuccia;struthiopteris;;150;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Besenheide;Plantae;;Calluna;vulgaris;;100;4;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;R I B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;Drahtschmiele;Plantae;;Deschampsia;flexuosa;;70;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;Rotes Straußgras;Plantae;;Agrostis;capillaris;;50;4;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;Goldrute;Plantae;;Solidago;virgaurea;;100;4;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;Weiches Honiggras;Plantae;;Holcus;mollis;;100;4;;;;;;H;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;Echter Ehrenpreis;Plantae;;Veronica;officinalis;;20;5;;;;;;;;;;;;;3;;;;3;;;2;;;;;;;;;;;;;;;3;2;2;;;;E M B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Pillen-Segge;Plantae;;Carex;pilulifera;;50;4 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;Hain-Veilchen;Plantae;;Viola;riviniana;;30;5;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;Blutwurz;Plantae;;Potentilla;erecta;;50;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;Berg-Platterbse;Plantae;Fabaceae;Lathyrus;linifolius;;60;4;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;Dreizahn;Plantae;; Danthonia;decumbens;;50;4;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Breitblättriger Dornfarn;Plantae;;Dryopteris;dilatata;;50;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;Vielblütige Hainsimse;Plantae;;Luzula;multiflora;;40;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
