ID;deutsche Bezeichnung;Reich;Familie;Gattung;Art;Variation;Höhe max [cm];Etage;Wurzel;Wurzeltyp;Tiefe der Wurzeln;einjährig;mehrjährig;Raunkiaer;krautig;ausdauernd;sommergrün;immergrün;winterhart;Philie;Lichtzahl (L);Schatten;Halbschatten ;Vollsonne;Temperaturzahl (T);Temperaturminimum;Durchschnittliche minimale Temperatur [in °C];Feuchtigkeit (F);Bodenfeuchte;Boden;Sand;Lehm;durchlässig;locker;humusreich;humusarm;Kalkhaltig;Wasser;Steine;Trockenheitsresistenz;Hang;Salztoleranz;Kontinentalitätszahl (K);Reaktionszahl (R);Nährstoffzahl (N);Pflanzengesellschaft;ph;PH ideal;Nutzen;Funktion;Produkte;Bau;Fasern;Mulchmaterial;Gründünger;Stickstofffixierung;Boden lockernd;Giftig;Warnung;Blütezeit;Farbe Blüte;Bunte Blüte;Nektar;Pollen;Blüht am x Jährigen Trieb;Erntereif nach x Tagen;Erntemethode;Schnitt;Vermehrung;Bestäubung;Bestäubung.1;beneficial Insects ;Nützling;Nisthilfe;Verbreitung;Population;Rote Liste;Neophyt;bedrohte Art;Schutzbedarf;Vorhandene Samen;Hybride mit;Überdauerungsorgan;Pflanzschema;Beipflanzung ;Beipflanzung;Vorfrucht;USDA;USDA.1;RHS;RHS.1;Strategoe;Kohlenstofffixierung;
29;Endivie;Plantae;Asteraceae;Cichorium;endivia;;70;5;;;;;;;;;;;;;L4;;;;T4;;;F3;;;;;;x;x;;;;;;;;K2;R3;N4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
30;Erbse;Plantae;;;;;;7;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;
31;Eßbarer Hornklee;Plantae;;Lotus;corniculatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Esche;Plantae;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
33;Europäische Stechpalme;Plantae;Aquifoliaceae;Ilex;aquifolium;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Fasernessel;Plantae;Urticacea;Urtica;dioica;;;;;;;;;;;;;;;;;;;;;;;F6;;;-;x;;;;;;;;;;;;R7;N8;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Feld-Steinquendel;Plantae;Lamiaceae;Acinos;arvensis;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;
36;Fichte;Plantae;;;;;;1 2;;;;;x;;;x;;x;x;;;;x;x;;;x;;;;;;;;;;;;;;;;;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Frühlings-Adonisröschen;Plantae;Ranunculaceae;Adonis;vernalis;;40;4;;x;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Fuchs;Metazoa;Canidae;Vulpes;vulpes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
